TIME,AGEYR,WTOT,WTOTPP,WRT,WTRT,WLRT,WLV,WWD,WPD,WPDCUM,WBNCUM,YRDD,YRAIN,YTRANS,YGPHOT,YGTOT,YLVD,YWDD,YYLDPD,YYLDBN,YHI,YHINCR,YMNBH,YMNLAI,YMNIPOD,YHARPD,YRDEFF,YRNEFF,YNLOSS,YPLOSS,YKLOSS,YEAR
   365.000    ,  5.1068    ,  31281.    ,  31.281    ,  5824.5    ,  1617.2    ,  4207.3    ,  4977.2    ,  19127.    ,  1351.8    ,  8071.7    ,  4223.6    ,  8639.7    ,  1579.0    ,  744.98    ,  86860.    ,  25848.    ,  6464.7    ,  491.13    ,  8099.7    ,  4238.2    , 0.16649    , 0.18090    ,  1.6191    ,  4.3018    ,  141.49    , 1.27146E+05, 0.49055    ,  2.6841    ,  89.002    ,  16.953    ,  40.263    ,  1983.0    
   731.000    ,  6.1096    ,  37859.    ,  37.859    ,  6883.3    ,  1895.1    ,  4988.2    ,  5941.2    ,  23495.    ,  1538.9    ,  19083.    ,  9985.1    ,  8389.2    ,  2679.0    ,  794.44    , 1.06397E+05,  28248.    ,  9020.8    ,  696.93    ,  11015.    ,  5763.5    , 0.18607    , 0.22035    ,  1.6823    ,  6.3176    ,  141.25    , 1.72906E+05, 0.68702    ,  2.1514    ,  121.03    ,  23.054    ,  54.754    ,  1984.0    
   1096.00    ,  7.1096    ,  39105.    ,  39.105    ,  7163.7    ,  1958.1    ,  5205.5    ,  6007.7    ,  24482.    ,  1451.4    ,  30686.    ,  16056.    ,  8597.7    ,  1999.0    ,  837.67    , 1.06573E+05,  25351.    ,  10657.    ,  819.00    ,  11602.    ,  6071.0    , 0.19007    , 0.25359    ,  1.6821    ,  7.0659    ,  141.28    , 1.82129E+05, 0.70611    ,  3.0370    ,  127.49    ,  24.284    ,  57.674    ,  1985.0    
   1461.00    ,  8.1096    ,  40270.    ,  40.270    ,  7344.1    ,  2012.2    ,  5331.8    ,  6121.4    ,  25336.    ,  1468.3    ,  42171.    ,  22066.    ,  8652.6    ,  1895.0    ,  862.20    , 1.07769E+05,  24965.    ,  10457.    ,  803.36    ,  11483.    ,  6008.7    , 0.18249    , 0.25434    ,  1.6828    ,  7.3551    ,  141.31    , 1.80260E+05, 0.69443    ,  3.1708    ,  126.18    ,  24.035    ,  57.082    ,  1986.0    
   1826.00    ,  9.1096    ,  40511.    ,  40.511    ,  7383.7    ,  2036.7    ,  5347.0    ,  6071.1    ,  25671.    ,  1384.7    ,  53572.    ,  28032.    ,  8587.7    ,  2213.0    ,  840.07    , 1.07548E+05,  24492.    ,  10931.    ,  843.57    ,  11399.    ,  5964.7    , 0.18005    , 0.25624    ,  1.6815    ,  7.4147    ,  141.22    , 1.78941E+05, 0.69456    ,  2.6953    ,  125.26    ,  23.859    ,  56.665    ,  1987.0    
   2192.00    ,  10.112    ,  41058.    ,  41.058    ,  7420.7    ,  2040.9    ,  5379.8    ,  6336.1    ,  25776.    ,  1524.8    ,  65294.    ,  34165.    ,  8330.7    ,  2311.0    ,  810.31    , 1.09738E+05,  25079.    ,  10886.    ,  840.13    ,  11727.    ,  6136.1    , 0.18242    , 0.25723    ,  1.6813    ,  7.5878    ,  141.26    , 1.84082E+05, 0.73656    ,  2.6552    ,  128.86    ,  24.544    ,  58.293    ,  1988.0    
   2557.00    ,  11.112    ,  41078.    ,  41.078    ,  7467.5    ,  2055.3    ,  5412.2    ,  6195.0    ,  25995.    ,  1420.3    ,  77210.    ,  40401.    ,  8407.2    ,  2056.0    ,  827.75    , 1.08651E+05,  25279.    ,  11385.    ,  873.36    ,  11915.    ,  6234.8    , 0.18550    , 0.25933    ,  1.6812    ,  7.6368    ,  141.28    , 1.87043E+05, 0.74159    ,  3.0325    ,  130.93    ,  24.939    ,  59.230    ,  1989.0    
   2922.00    ,  12.112    ,  42170.    ,  42.170    ,  7605.9    ,  2087.9    ,  5518.0    ,  6487.3    ,  26517.    ,  1559.6    ,  89127.    ,  46636.    ,  8511.2    ,  2523.0    ,  825.51    , 1.08395E+05,  25916.    ,  10962.    ,  844.25    ,  11920.    ,  6237.0    , 0.18045    , 0.25386    ,  1.6821    ,  7.7619    ,  141.28    , 1.87109E+05, 0.73279    ,  2.4720    ,  130.98    ,  24.948    ,  59.251    ,  1990.0    
   3287.00    ,  13.112    ,  42548.    ,  42.548    ,  7740.3    ,  2117.3    ,  5623.0    ,  6398.3    ,  26969.    ,  1439.9    , 1.01085E+05,  52893.    ,  8358.3    ,  1879.0    ,  829.23    , 1.07073E+05,  25883.    ,  11532.    ,  889.39    ,  11953.    ,  6254.2    , 0.17968    , 0.25504    ,  1.6811    ,  7.8722    ,  141.25    , 1.87627E+05, 0.74827    ,  3.3285    ,  131.34    ,  25.017    ,  59.415    ,  1991.0    
   3653.00    ,  14.115    ,  43768.    ,  43.768    ,  7853.0    ,  2140.1    ,  5712.9    ,  6867.5    ,  27368.    ,  1679.8    , 1.13309E+05,  59290.    ,  8569.8    ,  1968.0    ,  850.77    , 1.08384E+05,  26747.    ,  11289.    ,  875.00    ,  12231.    ,  6399.8    , 0.17819    , 0.25217    ,  1.6811    ,  8.0781    ,  141.27    , 1.91993E+05, 0.74678    ,  3.2519    ,  134.40    ,  25.599    ,  60.798    ,  1992.0    
