TIME,AGEYR,WTOT,WTOTPP,WTRT,WLRT,WLV,WWD,WPD,WPDCUM,WBNCUM,YRDD,YRAIN,YTRANS,YGPHOT,YGTOT,YLVD,YWDD,YYLDPD,YYLDBN,YHI,YHINCR,YMNBH,YMNLAI,YMNIPOD,YHARPD,YRDEFF,YRNEFF,YNLOSS,YPLOSS,YKLOSS,YEAR
   365.000    ,  5.1068    ,  32821.    ,  32.821    ,  1687.6    ,  4445.7    ,  5083.3    ,  20231.    ,  1372.9    ,  8591.1    ,  4495.4    ,  6190.1    ,  1715.7    ,  541.81    ,  92174.    ,  28430.    ,  6916.3    ,  528.37    ,  8618.1    ,  4509.5    , 0.16897    , 0.17574    ,  1.6222    ,  4.7935    ,  144.84    , 1.35284E+05, 0.72849    ,  2.6284    ,  94.699    ,  18.038    ,  42.840    ,  1000.0    
   730.000    ,  6.1068    ,  36864.    ,  36.864    ,  1871.0    ,  4909.9    ,  5594.8    ,  23096.    ,  1393.0    ,  19204.    ,  10049.    ,  6190.1    ,  1302.2    ,  575.04    ,  98424.    ,  25664.    ,  9351.1    ,  715.13    ,  10613.    ,  5553.5    , 0.18460    , 0.23162    ,  1.6034    ,  6.2911    ,  144.75    , 1.66605E+05, 0.89716    ,  4.2646    ,  116.62    ,  22.214    ,  52.758    ,  1000.0    
   1095.00    ,  7.1068    ,  38485.    ,  38.485    ,  1962.0    ,  5135.6    ,  5623.9    ,  24503.    ,  1260.3    ,  29089.    ,  15221.    ,  6190.1    ,  1510.2    ,  554.35    ,  96796.    ,  23434.    ,  10135.    ,  781.21    ,  9881.2    ,  5170.4    , 0.16473    , 0.23481    ,  1.5130    ,  6.6054    ,  144.86    , 1.55112E+05, 0.83527    ,  3.4237    ,  108.58    ,  20.682    ,  49.119    ,  1000.0    
   1460.00    ,  8.1068    ,  39776.    ,  39.776    ,  2017.2    ,  5298.5    ,  5795.6    ,  25366.    ,  1299.0    ,  38077.    ,  19924.    ,  6190.1    ,  1302.6    ,  547.79    ,  94036.    ,  21536.    ,  9497.9    ,  726.34    ,  8992.9    ,  4705.6    , 0.14496    , 0.23319    ,  1.5297    ,  6.5742    ,  145.18    , 1.41168E+05, 0.76018    ,  3.6124    ,  98.818    ,  18.822    ,  44.703    ,  1000.0    
   1825.00    ,  9.1068    ,  40383.    ,  40.383    ,  2035.9    ,  5344.2    ,  6033.8    ,  25677.    ,  1292.2    ,  48293.    ,  25270.    ,  6190.1    ,  1862.9    ,  571.93    , 1.00625E+05,  23395.    ,  10633.    ,  833.45    ,  10214.    ,  5344.7    , 0.16195    , 0.24120    ,  1.6084    ,  7.1346    ,  144.75    , 1.60341E+05, 0.86342    ,  2.8690    ,  112.24    ,  21.379    ,  50.775    ,  1000.0    
   2190.00    ,  10.107    ,  39303.    ,  39.303    ,  2044.4    ,  5324.7    ,  5274.0    ,  25765.    ,  894.26    ,  58399.    ,  30558.    ,  6190.1    ,  1365.4    ,  566.36    ,  97391.    ,  21561.    ,  10663.    ,  808.69    ,  10104.    ,  5287.0    , 0.16556    , 0.25924    ,  1.6056    ,  7.1486    ,  144.92    , 1.58610E+05, 0.85410    ,  3.8721    ,  111.03    ,  21.148    ,  50.226    ,  1000.0    
   2555.00    ,  11.107    ,  41187.    ,  41.187    ,  2059.4    ,  5423.9    ,  6224.5    ,  26054.    ,  1425.7    ,  68406.    ,  35794.    ,  6190.1    ,  1573.7    ,  578.88    , 1.00871E+05,  24086.    ,  10324.    ,  797.58    ,  10010.    ,  5237.8    , 0.15541    , 0.22987    ,  1.6108    ,  7.1930    ,  144.80    , 1.57134E+05, 0.84616    ,  3.3283    ,  109.99    ,  20.951    ,  49.759    ,  1000.0    
   2920.00    ,  12.107    ,  41242.    ,  41.242    ,  2102.8    ,  5509.4    ,  5784.5    ,  26707.    ,  1138.5    ,  78717.    ,  41189.    ,  6190.1    ,  1929.5    ,  551.61    ,  98095.    ,  23336.    ,  11055.    ,  849.93    ,  10309.    ,  5394.4    , 0.16040    , 0.24505    ,  1.5915    ,  7.3773    ,  144.86    , 1.61831E+05, 0.87145    ,  2.7958    ,  113.28    ,  21.577    ,  51.247    ,  1000.0    
   3285.00    ,  13.107    ,  42510.    ,  42.510    ,  2143.0    ,  5634.0    ,  6110.8    ,  27354.    ,  1268.6    ,  88976.    ,  46557.    ,  6190.1    ,  1913.8    ,  553.88    ,  99131.    ,  24398.    ,  10904.    ,  838.67    ,  10261.    ,  5369.0    , 0.15458    , 0.23335    ,  1.6116    ,  7.4928    ,  144.76    , 1.61069E+05, 0.86735    ,  2.8054    ,  112.75    ,  21.476    ,  51.005    ,  1000.0    
   3650.00    ,  14.107    ,  43777.    ,  43.777    ,  2195.6    ,  5786.4    ,  6282.8    ,  28184.    ,  1328.6    ,  98879.    ,  51739.    ,  6190.1    ,  1817.9    ,  533.12    ,  97032.    ,  24064.    ,  10866.    ,  834.50    ,  9902.0    ,  5181.3    , 0.14475    , 0.22914    ,  1.5929    ,  7.4633    ,  144.98    , 1.55439E+05, 0.83703    ,  2.8501    ,  108.81    ,  20.725    ,  49.222    ,  1000.0    
