TIME,AGEYR,WTOT,WTOTPP,WRT,WTRT,WLRT,WLV,WWD,WPD,WPDCUM,LAI(1),TMAV,WBNCUM,D10RDD,D10RAIN,D10YLDPD,D10YLDBN,D10GTOT,PCEW,DOY,YEAR
   1.00000    ,  4.1096    ,  21236.    ,  21.236    ,  4213.4    ,  1193.2    ,  3020.1    ,  3421.1    ,  12546.    ,  1055.5    ,  0.0000    ,  3.6039    ,  26.150    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.0000    ,  1.0000    ,  1973.0    
   11.0000    ,  4.1370    ,  21597.    ,  21.597    ,  4275.0    ,  1209.7    ,  3065.3    ,  3478.6    ,  12760.    ,  1083.6    ,  9.2564    ,  3.6647    ,  26.043    ,  4.8435    , 2.32082E+08,  8.6353    ,  9.2564    ,  4.8435    ,  560.93    ,  1.0000    ,  11.000    ,  1973.0    
   21.0000    ,  4.1644    ,  22097.    ,  22.097    ,  4504.4    ,  1227.3    ,  3277.1    ,  3517.8    ,  13001.    ,  1074.1    ,  39.375    ,  3.7078    ,  26.030    ,  20.603    , 2.39038E+08,  5.9718    ,  30.118    ,  15.760    ,  723.77    , 0.84258    ,  21.000    ,  1973.0    
   31.0000    ,  4.1918    ,  22439.    ,  22.439    ,  4661.3    ,  1237.5    ,  3423.8    ,  3512.1    ,  13224.    ,  1042.5    ,  151.18    ,  3.7043    ,  26.080    ,  79.107    , 2.45415E+08,  12.780    ,  111.81    ,  58.504    ,  657.93    , 0.80965    ,  31.000    ,  1973.0    
   41.0000    ,  4.2192    ,  22527.    ,  22.527    ,  4777.8    ,  1241.2    ,  3536.5    ,  3457.5    ,  13288.    ,  1004.0    ,  373.71    ,  3.6519    ,  26.130    ,  195.55    , 2.51715E+08,  3.6127    ,  222.53    ,  116.44    ,  523.97    , 0.60227    ,  41.000    ,  1973.0    
   51.0000    ,  4.2466    ,  22345.    ,  22.345    ,  4776.9    ,  1241.3    ,  3535.6    ,  3351.5    ,  13285.    ,  931.10    ,  619.32    ,  3.5432    ,  26.264    ,  324.06    , 2.56217E+08,  10.799    ,  245.60    ,  128.51    ,  299.72    , 0.68785    ,  51.000    ,  1973.0    
   61.0000    ,  4.2740    ,  22131.    ,  22.131    ,  4769.2    ,  1241.3    ,  3527.8    ,  3235.9    ,  13279.    ,  846.96    ,  861.60    ,  3.4222    ,  26.453    ,  450.84    , 2.51726E+08,  3.2005    ,  242.29    ,  126.78    ,  260.19    , 0.50264    ,  61.000    ,  1973.0    
   71.0000    ,  4.3014    ,  21747.    ,  21.747    ,  4751.5    ,  1241.3    ,  3510.1    ,  3038.2    ,  13266.    ,  691.27    ,  1055.5    ,  3.2188    ,  26.643    ,  552.29    , 2.46036E+08,  2.8413    ,  193.89    ,  101.45    ,  59.591    , 0.46802    ,  71.000    ,  1973.0    
   81.0000    ,  4.3288    ,  21915.    ,  21.915    ,  4749.9    ,  1241.3    ,  3508.6    ,  3135.2    ,  13265.    ,  764.97    ,  1214.2    ,  3.3100    ,  26.869    ,  635.33    , 2.41772E+08,  62.450    ,  158.70    ,  83.040    ,  551.46    , 0.99973    ,  81.000    ,  1973.0    
   91.0000    ,  4.3562    ,  22300.    ,  22.300    ,  4749.9    ,  1241.3    ,  3508.6    ,  3381.1    ,  13265.    ,  903.52    ,  1386.7    ,  3.5695    ,  27.111    ,  725.59    , 2.42461E+08,  50.708    ,  172.50    ,  90.261    ,  742.54    ,  1.0000    ,  91.000    ,  1973.0    
